Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,1999,1999,tonnes,239548580,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2000,2000,tonnes,251853900,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2001,2001,tonnes,241376650,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2002,2002,tonnes,227766880,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2003,2003,tonnes,256229020,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2004,2004,tonnes,299875570,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2005,2005,tonnes,282262550,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2006,2006,tonnes,267502850,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2007,2007,tonnes,331177280,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2008,2008,tonnes,305911450,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2009,2009,tonnes,331921050,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2010,2010,tonnes,315617920,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2011,2011,tonnes,312788890,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2012,2012,tonnes,273192400,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2013,2013,tonnes,351271870,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2014,2014,tonnes,361091140,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2015,2015,tonnes,345486340,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2016,2016,tonnes,412262180,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2017,2017,tonnes,371096030,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2018,2018,tonnes,364262150,,Official data
